id_comunidade,tamanho,lat_centroide,lon_centroide
0,7,-22.824417542857145,-47.074453885714284
1,5,-22.828301019999998,-47.07496864
2,5,-22.83172504,-47.08221104
3,4,-22.827781275,-47.080655875
4,4,-22.8270024,-47.083319675
5,4,-22.822208675,-47.0712884
6,3,-22.821526133333332,-47.082273
7,3,-22.82342926666667,-47.08175383333333
8,3,-22.823980666666667,-47.078848066666666
9,3,-22.832500133333333,-47.076891266666664
10,3,-22.821113033333333,-47.081128066666665
11,3,-22.8274931,-47.082148133333334
12,3,-22.821632366666666,-47.07423756666667
13,3,-22.8260397,-47.07099036666667
14,2,-22.82137455,-47.0773619
15,2,-22.828111399999997,-47.07787155
16,2,-22.829759099999997,-47.0790096
17,2,-22.83273875,-47.0780297
18,2,-22.8233108,-47.08316465
19,2,-22.8340096,-47.080177649999996
20,2,-22.8265194,-47.0774141
21,2,-22.82484495,-47.0798338
22,2,-22.8338445,-47.0812681
23,2,-22.8314086,-47.0775232
24,2,-22.8256744,-47.082090949999994
25,2,-22.82676385,-47.0806696
26,2,-22.82610985,-47.07958085
27,2,-22.8236383,-47.071835699999994
28,2,-22.8225321,-47.07289675
29,2,-22.823082550000002,-47.074785500000004
30,2,-22.820526,-47.072884450000004
31,2,-22.820138550000003,-47.077083200000004
32,1,-22.8277265,-47.0883163
33,1,-22.8280934,-47.0792132
34,1,-22.8248028,-47.079422
35,1,-22.8346985,-47.0831725
